"filename", "language", "Go Checksum File", "Go", "Go Module File", "JSON", "comment", "blank", "total"
"c:\work\svn\quant\go\src\dagger\api\binanceapi\binancefutureapi\rest.go", "Go", 0, 345, 0, 0, 28, 54, 427
"c:\work\svn\quant\go\src\dagger\api\binanceapi\binancespotapi\rest.go", "Go", 0, 496, 0, 0, 67, 75, 638
"c:\work\svn\quant\go\src\dagger\api\binanceapi\binancespotapi\websocket.go", "Go", 0, 133, 0, 0, 11, 18, 162
"c:\work\svn\quant\go\src\dagger\api\binanceapi\defines.go", "Go", 0, 9, 0, 0, 8, 3, 20
"c:\work\svn\quant\go\src\dagger\api\binanceapi\helper.go", "Go", 0, 40, 0, 0, 11, 10, 61
"c:\work\svn\quant\go\src\dagger\api\binanceapi\response_rest.go", "Go", 0, 193, 0, 0, 31, 33, 257
"c:\work\svn\quant\go\src\dagger\api\binanceapi\response_websocket.go", "Go", 0, 65, 0, 0, 14, 10, 89
"c:\work\svn\quant\go\src\dagger\api\binanceapi\signer.go", "Go", 0, 81, 0, 0, 12, 20, 113
"c:\work\svn\quant\go\src\dagger\api\binanceapi\ws_stream.go", "Go", 0, 33, 0, 0, 7, 10, 50
"c:\work\svn\quant\go\src\dagger\api\cam\defines.go", "Go", 0, 368, 0, 0, 14, 59, 441
"c:\work\svn\quant\go\src\dagger\api\cam\rest.go", "Go", 0, 206, 0, 0, 22, 29, 257
"c:\work\svn\quant\go\src\dagger\api\cam\samples\assets.json", "JSON", 0, 0, 0, 2825, 0, 0, 2825
"c:\work\svn\quant\go\src\dagger\api\cam\samples\basicInfo.json", "JSON", 0, 0, 0, 64, 0, 0, 64
"c:\work\svn\quant\go\src\dagger\api\cam\samples\dealRecords.json", "JSON", 0, 0, 0, 147009, 0, 0, 147009
"c:\work\svn\quant\go\src\dagger\api\cam\samples\details.json", "JSON", 0, 0, 0, 15422, 0, 0, 15422
"c:\work\svn\quant\go\src\dagger\api\cam\samples\orderRecords.json", "JSON", 0, 0, 0, 135009, 0, 0, 135009
"c:\work\svn\quant\go\src\dagger\api\cam\samples\orderRecords.usd.json", "JSON", 0, 0, 0, 135009, 0, 0, 135009
"c:\work\svn\quant\go\src\dagger\api\cam\samples\portfolioList.json", "JSON", 0, 0, 0, 934, 0, 0, 934
"c:\work\svn\quant\go\src\dagger\api\cam\samples\positions.json", "JSON", 0, 0, 0, 3244, 0, 0, 3244
"c:\work\svn\quant\go\src\dagger\api\cam\samples\risk.json", "JSON", 0, 0, 0, 101, 0, 0, 101
"c:\work\svn\quant\go\src\dagger\api\cam\samples\simple_account.json", "JSON", 0, 0, 0, 56571, 0, 0, 56571
"c:\work\svn\quant\go\src\dagger\api\cam\samples\transRecors.json", "JSON", 0, 0, 0, 147009, 0, 0, 147009
"c:\work\svn\quant\go\src\dagger\api\coingeckoapi\rest.go", "Go", 0, 33, 0, 0, 9, 7, 49
"c:\work\svn\quant\go\src\dagger\api\etherscanapi\defines.go", "Go", 0, 16, 0, 0, 7, 4, 27
"c:\work\svn\quant\go\src\dagger\api\etherscanapi\rest.go", "Go", 0, 97, 0, 0, 7, 13, 117
"c:\work\svn\quant\go\src\dagger\api\helper.go", "Go", 0, 14, 0, 0, 7, 5, 26
"c:\work\svn\quant\go\src\dagger\api\jin10\api.go", "Go", 0, 21, 0, 0, 9, 6, 36
"c:\work\svn\quant\go\src\dagger\api\jin10\defines.go", "Go", 0, 28, 0, 0, 9, 6, 43
"c:\work\svn\quant\go\src\dagger\api\jin10\samples\economics.json", "JSON", 0, 0, 0, 875, 0, 0, 875
"c:\work\svn\quant\go\src\dagger\api\jin10\samples\events.json", "JSON", 0, 0, 0, 55, 0, 0, 55
"c:\work\svn\quant\go\src\dagger\api\myweb3\deines.go", "Go", 0, 29, 0, 0, 7, 7, 43
"c:\work\svn\quant\go\src\dagger\api\myweb3\rest.go", "Go", 0, 16, 0, 0, 7, 8, 31
"c:\work\svn\quant\go\src\dagger\api\okexv5api\cached\defines.go", "Go", 0, 2, 0, 0, 7, 2, 11
"c:\work\svn\quant\go\src\dagger\api\okexv5api\cached\klines.go", "Go", 0, 157, 0, 0, 17, 20, 194
"c:\work\svn\quant\go\src\dagger\api\okexv5api\cached\position_history.go", "Go", 0, 124, 0, 0, 17, 17, 158
"c:\work\svn\quant\go\src\dagger\api\okexv5api\follow\response.go", "Go", 0, 166, 0, 0, 7, 34, 207
"c:\work\svn\quant\go\src\dagger\api\okexv5api\follow\rest.go", "Go", 0, 106, 0, 0, 19, 10, 135
"c:\work\svn\quant\go\src\dagger\api\okexv5api\response_private.go", "Go", 0, 248, 0, 0, 38, 39, 325
"c:\work\svn\quant\go\src\dagger\api\okexv5api\response_public.go", "Go", 0, 272, 0, 0, 22, 50, 344
"c:\work\svn\quant\go\src\dagger\api\okexv5api\rest.go", "Go", 0, 469, 0, 0, 44, 83, 596
"c:\work\svn\quant\go\src\dagger\api\okexv5api\signer.go", "Go", 0, 103, 0, 0, 12, 23, 138
"c:\work\svn\quant\go\src\dagger\api\okexv5api\websocket.go", "Go", 0, 374, 0, 0, 35, 60, 469
"c:\work\svn\quant\go\src\dagger\api\pinger.go", "Go", 0, 44, 0, 0, 13, 8, 65
"c:\work\svn\quant\go\src\dagger\api\proxyprovider\common_defines.go", "Go", 0, 23, 0, 0, 6, 6, 35
"c:\work\svn\quant\go\src\dagger\api\proxyprovider\iproyal_api.go", "Go", 0, 88, 0, 0, 9, 22, 119
"c:\work\svn\quant\go\src\dagger\api\proxyprovider\iproyal_defines.go", "Go", 0, 75, 0, 0, 8, 15, 98
"c:\work\svn\quant\go\src\dagger\api\proxyprovider\proxyline_api.go", "Go", 0, 99, 0, 0, 6, 24, 129
"c:\work\svn\quant\go\src\dagger\api\proxyprovider\proxyline_defines.go", "Go", 0, 62, 0, 0, 5, 13, 80
"c:\work\svn\quant\go\src\dagger\api\twitterapi\api_defines.go", "Go", 0, 70, 0, 0, 15, 13, 98
"c:\work\svn\quant\go\src\dagger\api\twitterapi\bot.go", "Go", 0, 252, 0, 0, 66, 36, 354
"c:\work\svn\quant\go\src\dagger\api\twitterapi\bot_defines.go", "Go", 0, 260, 0, 0, 19, 31, 310
"c:\work\svn\quant\go\src\dagger\api\twitterapi\tweet.go", "Go", 0, 146, 0, 0, 25, 34, 205
"c:\work\svn\quant\go\src\dagger\api\twitterapi\userinfo.go", "Go", 0, 134, 0, 0, 18, 35, 187
"c:\work\svn\quant\go\src\dagger\api\ws_connection.go", "Go", 0, 261, 0, 0, 30, 48, 339
"c:\work\svn\quant\go\src\dagger\api\ws_subscriber.go", "Go", 0, 82, 0, 0, 16, 14, 112
"c:\work\svn\quant\go\src\dagger\cex\adv\bandDealer.go", "Go", 0, 199, 0, 0, 27, 47, 273
"c:\work\svn\quant\go\src\dagger\cex\adv\breakDealer.go", "Go", 0, 466, 0, 0, 53, 87, 606
"c:\work\svn\quant\go\src\dagger\cex\adv\breakDealerV2.go", "Go", 0, 439, 0, 0, 49, 71, 559
"c:\work\svn\quant\go\src\dagger\cex\adv\deal_statistic.go", "Go", 0, 95, 0, 0, 19, 19, 133
"c:\work\svn\quant\go\src\dagger\cex\adv\grid.go", "Go", 0, 390, 0, 0, 29, 68, 487
"c:\work\svn\quant\go\src\dagger\cex\adv\historyfundingfee.go", "Go", 0, 120, 0, 0, 14, 21, 155
"c:\work\svn\quant\go\src\dagger\cex\adv\historyprice.go", "Go", 0, 76, 0, 0, 7, 8, 91
"c:\work\svn\quant\go\src\dagger\cex\adv\maker.go", "Go", 0, 155, 0, 0, 25, 27, 207
"c:\work\svn\quant\go\src\dagger\cex\adv\position_manager.go", "Go", 0, 325, 0, 0, 35, 56, 416
"c:\work\svn\quant\go\src\dagger\cex\adv\priceMap2Position.go", "Go", 0, 43, 0, 0, 7, 10, 60
"c:\work\svn\quant\go\src\dagger\cex\adv\reversedGrid.go", "Go", 0, 406, 0, 0, 30, 67, 503
"c:\work\svn\quant\go\src\dagger\cex\adv\taker.go", "Go", 0, 167, 0, 0, 18, 38, 223
"c:\work\svn\quant\go\src\dagger\cex\adv\twDealer.go", "Go", 0, 311, 0, 0, 26, 58, 395
"c:\work\svn\quant\go\src\dagger\cex\binance\defines.go", "Go", 0, 94, 0, 0, 11, 9, 114
"c:\work\svn\quant\go\src\dagger\cex\binance\exchange.go", "Go", 0, 339, 0, 0, 30, 72, 441
"c:\work\svn\quant\go\src\dagger\cex\binance\helper.go", "Go", 0, 64, 0, 0, 17, 9, 90
"c:\work\svn\quant\go\src\dagger\cex\binance\spot_market.go", "Go", 0, 198, 0, 0, 17, 40, 255
"c:\work\svn\quant\go\src\dagger\cex\binance\spot_order.go", "Go", 0, 196, 0, 0, 31, 39, 266
"c:\work\svn\quant\go\src\dagger\cex\binance\spot_trader.go", "Go", 0, 166, 0, 0, 18, 35, 219
"c:\work\svn\quant\go\src\dagger\cex\common\balancemgr.go", "Go", 0, 45, 0, 0, 12, 15, 72
"c:\work\svn\quant\go\src\dagger\cex\common\defines.go", "Go", 0, 252, 0, 0, 15, 48, 315
"c:\work\svn\quant\go\src\dagger\cex\common\helper.go", "Go", 0, 133, 0, 0, 24, 16, 173
"c:\work\svn\quant\go\src\dagger\cex\common\instrumentmgr.go", "Go", 0, 78, 0, 0, 8, 13, 99
"c:\work\svn\quant\go\src\dagger\cex\common\interface.go", "Go", 0, 196, 0, 0, 40, 40, 276
"c:\work\svn\quant\go\src\dagger\cex\common\order.go", "Go", 0, 143, 0, 0, 11, 28, 182
"c:\work\svn\quant\go\src\dagger\cex\common\orderbook.go", "Go", 0, 260, 0, 0, 22, 52, 334
"c:\work\svn\quant\go\src\dagger\cex\common\others.go", "Go", 0, 1, 0, 0, 10, 2, 13
"c:\work\svn\quant\go\src\dagger\cex\okexv5\common_market.go", "Go", 0, 229, 0, 0, 22, 42, 293
"c:\work\svn\quant\go\src\dagger\cex\okexv5\common_order.go", "Go", 0, 264, 0, 0, 32, 46, 342
"c:\work\svn\quant\go\src\dagger\cex\okexv5\contract_observer.go", "Go", 0, 97, 0, 0, 12, 14, 123
"c:\work\svn\quant\go\src\dagger\cex\okexv5\contract_order.go", "Go", 0, 44, 0, 0, 12, 9, 65
"c:\work\svn\quant\go\src\dagger\cex\okexv5\defines.go", "Go", 0, 53, 0, 0, 14, 11, 78
"c:\work\svn\quant\go\src\dagger\cex\okexv5\exchange.go", "Go", 0, 656, 0, 0, 55, 115, 826
"c:\work\svn\quant\go\src\dagger\cex\okexv5\fundingfee_observer.go", "Go", 0, 127, 0, 0, 14, 25, 166
"c:\work\svn\quant\go\src\dagger\cex\okexv5\future_market.go", "Go", 0, 156, 0, 0, 17, 33, 206
"c:\work\svn\quant\go\src\dagger\cex\okexv5\future_trader.go", "Go", 0, 199, 0, 0, 28, 41, 268
"c:\work\svn\quant\go\src\dagger\cex\okexv5\helper.go", "Go", 0, 66, 0, 0, 14, 15, 95
"c:\work\svn\quant\go\src\dagger\cex\okexv5\spot_market.go", "Go", 0, 42, 0, 0, 14, 15, 71
"c:\work\svn\quant\go\src\dagger\cex\okexv5\spot_order.go", "Go", 0, 30, 0, 0, 12, 9, 51
"c:\work\svn\quant\go\src\dagger\cex\okexv5\spot_trader.go", "Go", 0, 167, 0, 0, 18, 37, 222
"c:\work\svn\quant\go\src\dagger\go.mod", "Go Module File", 0, 0, 45, 0, 0, 6, 51
"c:\work\svn\quant\go\src\dagger\go.sum", "Go Checksum File", 184, 0, 0, 0, 0, 1, 185
"c:\work\svn\quant\go\src\dagger\stratergy\dataline.go", "Go", 0, 300, 0, 0, 35, 50, 385
"c:\work\svn\quant\go\src\dagger\stratergy\datamanager\influx.go", "Go", 0, 269, 0, 0, 27, 61, 357
"c:\work\svn\quant\go\src\dagger\stratergy\datamanager\redis.go", "Go", 0, 172, 0, 0, 13, 29, 214
"c:\work\svn\quant\go\src\dagger\stratergy\defines.go", "Go", 0, 237, 0, 0, 10, 41, 288
"c:\work\svn\quant\go\src\dagger\stratergy\stratergy.go", "Go", 0, 16, 0, 0, 10, 4, 30
"c:\work\svn\quant\go\src\dagger\stratergy\terminal.go", "Go", 0, 139, 0, 0, 13, 13, 165
"c:\work\svn\quant\go\src\dagger\util\apikey\protocol.go", "Go", 0, 83, 0, 0, 9, 13, 105
"c:\work\svn\quant\go\src\dagger\util\apikey\requester.go", "Go", 0, 115, 0, 0, 13, 20, 148
"c:\work\svn\quant\go\src\dagger\util\chromedp_helper.go", "Go", 0, 154, 0, 0, 24, 31, 209
"c:\work\svn\quant\go\src\dagger\util\code_path_recorder.go", "Go", 0, 16, 0, 0, 10, 6, 32
"c:\work\svn\quant\go\src\dagger\util\crypto\aes.go", "Go", 0, 98, 0, 0, 16, 10, 124
"c:\work\svn\quant\go\src\dagger\util\crypto\des.go", "Go", 0, 131, 0, 0, 71, 38, 240
"c:\work\svn\quant\go\src\dagger\util\crypto\keys.go", "Go", 0, 2, 0, 0, 9, 3, 14
"c:\work\svn\quant\go\src\dagger\util\crypto\rsa.go", "Go", 0, 35, 0, 0, 22, 4, 61
"c:\work\svn\quant\go\src\dagger\util\csv.go", "Go", 0, 63, 0, 0, 8, 14, 85
"c:\work\svn\quant\go\src\dagger\util\datavisual\datagroup.go", "Go", 0, 165, 0, 0, 26, 29, 220
"c:\work\svn\quant\go\src\dagger\util\datavisual\layout.go", "Go", 0, 226, 0, 0, 14, 23, 263
"c:\work\svn\quant\go\src\dagger\util\dingtalk\defines.go", "Go", 0, 75, 0, 0, 8, 16, 99
"c:\work\svn\quant\go\src\dagger\util\dingtalk\message.go", "Go", 0, 134, 0, 0, 15, 20, 169
"c:\work\svn\quant\go\src\dagger\util\dingtalk\notifier.go", "Go", 0, 301, 0, 0, 9, 44, 354
"c:\work\svn\quant\go\src\dagger\util\helper.go", "Go", 0, 122, 0, 0, 21, 29, 172
"c:\work\svn\quant\go\src\dagger\util\helper_file.go", "Go", 0, 206, 0, 0, 20, 32, 258
"c:\work\svn\quant\go\src\dagger\util\helper_math.go", "Go", 0, 371, 0, 0, 22, 59, 452
"c:\work\svn\quant\go\src\dagger\util\helper_profile.go", "Go", 0, 30, 0, 0, 8, 5, 43
"c:\work\svn\quant\go\src\dagger\util\helper_string.go", "Go", 0, 393, 0, 0, 19, 57, 469
"c:\work\svn\quant\go\src\dagger\util\helper_time.go", "Go", 0, 173, 0, 0, 19, 24, 216
"c:\work\svn\quant\go\src\dagger\util\indacators\bband.go", "Go", 0, 81, 0, 0, 8, 14, 103
"c:\work\svn\quant\go\src\dagger\util\indacators\interface.go", "Go", 0, 12, 0, 0, 7, 4, 23
"c:\work\svn\quant\go\src\dagger\util\indacators\minmax.go", "Go", 0, 66, 0, 0, 8, 14, 88
"c:\work\svn\quant\go\src\dagger\util\indacators\mmwband.go", "Go", 0, 87, 0, 0, 8, 16, 111
"c:\work\svn\quant\go\src\dagger\util\indacators\sma.go", "Go", 0, 45, 0, 0, 8, 10, 63
"c:\work\svn\quant\go\src\dagger\util\indacators\stddev.go", "Go", 0, 58, 0, 0, 9, 14, 81
"c:\work\svn\quant\go\src\dagger\util\influxdb\helper.go", "Go", 0, 344, 0, 0, 20, 54, 418
"c:\work\svn\quant\go\src\dagger\util\influxdb\walker.go", "Go", 0, 82, 0, 0, 9, 13, 104
"c:\work\svn\quant\go\src\dagger\util\key_group.go", "Go", 0, 38, 0, 0, 7, 11, 56
"c:\work\svn\quant\go\src\dagger\util\logger\logger.go", "Go", 0, 185, 0, 0, 24, 39, 248
"c:\work\svn\quant\go\src\dagger\util\marketdata\driver.go", "Go", 0, 16, 0, 0, 7, 4, 27
"c:\work\svn\quant\go\src\dagger\util\marketdata\klineDriver.go", "Go", 0, 145, 0, 0, 10, 28, 183
"c:\work\svn\quant\go\src\dagger\util\marketdata\tickerDriver.go", "Go", 0, 209, 0, 0, 24, 39, 272
"c:\work\svn\quant\go\src\dagger\util\marketdata\tradesDriver.go", "Go", 0, 141, 0, 0, 33, 28, 202
"c:\work\svn\quant\go\src\dagger\util\mathtools\deduplicator.go", "Go", 0, 38, 0, 0, 7, 8, 53
"c:\work\svn\quant\go\src\dagger\util\mathtools\dynamicMap.go", "Go", 0, 38, 0, 0, 7, 7, 52
"c:\work\svn\quant\go\src\dagger\util\mathtools\freq_calculator.go", "Go", 0, 51, 0, 0, 12, 11, 74
"c:\work\svn\quant\go\src\dagger\util\minio_client.go", "Go", 0, 44, 0, 0, 7, 9, 60
"c:\work\svn\quant\go\src\dagger\util\network\htmlhelper.go", "Go", 0, 40, 0, 0, 7, 11, 58
"c:\work\svn\quant\go\src\dagger\util\network\http.go", "Go", 0, 97, 0, 0, 10, 21, 128
"c:\work\svn\quant\go\src\dagger\util\network\util.go", "Go", 0, 53, 0, 0, 7, 8, 68
"c:\work\svn\quant\go\src\dagger\util\prettyutil\helper.go", "Go", 0, 5, 0, 0, 7, 3, 15
"c:\work\svn\quant\go\src\dagger\util\redis_client.go", "Go", 0, 276, 0, 0, 11, 35, 322
"c:\work\svn\quant\go\src\dagger\util\routine\taskcountctrl.go", "Go", 0, 54, 0, 0, 7, 10, 71
"c:\work\svn\quant\go\src\dagger\util\signals\push_n_hold.go", "Go", 0, 22, 0, 0, 12, 6, 40
"c:\work\svn\quant\go\src\dagger\util\sys_linux.go", "Go", 0, 16, 0, 0, 8, 4, 28
"c:\work\svn\quant\go\src\dagger\util\sys_windows.go", "Go", 0, 29, 0, 0, 9, 4, 42
"c:\work\svn\quant\go\src\dagger\util\terminal\helper.go", "Go", 0, 65, 0, 0, 8, 8, 81
"c:\work\svn\quant\go\src\dagger\util\terminal\interface.go", "Go", 0, 18, 0, 0, 10, 5, 33
"c:\work\svn\quant\go\src\dagger\util\translate\baidu.go", "Go", 0, 52, 0, 0, 5, 10, 67
"c:\work\svn\quant\go\src\dagger\util\udpsocket\message.go", "Go", 0, 4, 0, 0, 10, 3, 17
"c:\work\svn\quant\go\src\dagger\util\udpsocket\socket.go", "Go", 0, 111, 0, 0, 14, 23, 148
"c:\work\svn\quant\go\src\dagger\util\webhelper\helper.go", "Go", 0, 46, 0, 0, 7, 10, 63
"Total", "-", 184, 19921, 45, 644127, 2428, 3587, 670292